Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100nF","C_0805_2012Metric",136.906000,-79.563000,90.000000,top
"C2","100nF","C_0805_2012Metric",123.571000,-129.728000,-90.000000,top
"C3","15pF","C_0805_2012Metric",148.783000,-130.048000,0.000000,top
"C4","10uF","C_0805_2012Metric",139.700000,-79.436000,90.000000,top
"C5","15pF","C_0805_2012Metric",150.241000,-126.939000,-90.000000,top
"C6","10uF","C_0805_2012Metric",138.496000,-95.885000,0.000000,top
"C7","10uF","C_0805_2012Metric",138.540000,-98.166000,0.000000,top
"C8","10uF","C_0805_2012Metric",138.540000,-102.997000,0.000000,top
"C9","100nF","C_0805_2012Metric",123.444000,-95.824000,-90.000000,top
"D1","D_Schottky_Small","D_SMA",137.319000,-83.566000,0.000000,top
"D2","LED","LED_0805_2012Metric",150.192500,-114.427000,180.000000,top
"D3","LED","LED_0805_2012Metric",150.095500,-111.760000,180.000000,top
"D4","LED","LED_0805_2012Metric",124.508500,-112.776000,0.000000,top
"D5","LED","LED_0805_2012Metric",124.538500,-114.935000,0.000000,top
"GPIOS1","Conn_01x10","PinHeader_1x10_P2.54mm_Vertical",157.500000,-103.080000,180.000000,top
"H-Bridge1","Conn_01x10","PinHeader_1x10_P2.54mm_Vertical",124.340000,-140.500000,90.000000,top
"H-Bridge2","Conn_01x10","PinHeader_1x10_P2.54mm_Vertical",157.500000,-109.340000,0.000000,top
"J1","USB_C_Receptacle_USB2.0_16P","USB_C_Receptacle_HRO_TYPE-C-31-M-12",126.797034,-81.659000,-90.000000,top
"J2","Conn_01x03","PinSocket_1x03_P2.54mm_Vertical",149.860000,-122.555000,180.000000,top
"J3","Conn_01x04","PinSocket_1x04_P2.54mm_Vertical",124.460000,-125.730000,180.000000,top
"MyowareSensors1","Conn_01x06","PinHeader_1x06_P2.54mm_Vertical",149.000000,-100.350000,180.000000,top
"R1","1k","R_0805_2012Metric",126.619000,-95.861500,-90.000000,top
"R2","10k","R_0805_2012Metric",124.182500,-92.710000,180.000000,top
"R3","27","R_0805_2012Metric",135.890000,-93.194500,-90.000000,top
"R4","27","R_0805_2012Metric",133.477000,-93.194500,90.000000,top
"R5","5.1K","R_0805_2012Metric",136.144000,-88.495500,-90.000000,top
"R6","5.1K","R_0805_2012Metric",133.604000,-88.495500,-90.000000,top
"R7","10k","R_0805_2012Metric",145.899500,-123.698000,0.000000,top
"R8","100","R_0805_2012Metric",138.533500,-100.584000,0.000000,top
"R9","1k","R_0805_2012Metric",146.160000,-118.110000,0.000000,top
"R10","1k","R_0805_2012Metric",146.153500,-120.396000,0.000000,top
"R11","4.7k","R_0805_2012Metric",128.119500,-109.601000,180.000000,top
"R12","4.7k","R_0805_2012Metric",128.119500,-111.633000,180.000000,top
"R13","1k","R_0805_2012Metric",128.119500,-116.078000,180.000000,top
"R14","1k","R_0805_2012Metric",128.119500,-113.919000,180.000000,top
"R15","1k","R_0805_2012Metric",147.828000,-126.873000,90.000000,top
"R16","50","R_0805_2012Metric",156.295000,-140.525000,180.000000,top
"SW1","SW_SPST","SW_SPST_CK_RS282G05A3",127.418000,-89.408000,0.000000,top
"U1","W25Q32JVSS","SOIC-8_5.23x5.23mm_P1.27mm",125.349000,-102.572000,-90.000000,top
"U2","AMS1117-3.3","SOT-223-3_TabPin2",145.948000,-81.534000,0.000000,top
"U3","RP2040","QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm",136.465000,-116.323500,0.000000,top
"Y1","12Mhz","Crystal_SMD_SeikoEpson_FA238V-4Pin_3.2x2.5mm",144.272000,-127.000000,0.000000,top
