"Reference","Value","Datasheet","Footprint","Qty","DNP"
"C1,C2,C9","100nF","","Capacitor_SMD:C_0805_2012Metric","3",""
"C3,C5","15pF","","Capacitor_SMD:C_0805_2012Metric","2",""
"C4,C6,C7,C8","10uF","","Capacitor_SMD:C_0805_2012Metric","4",""
"D1","D_Schottky_Small","","Diode_SMD:D_SMA","1",""
"D2,D3,D4,D5","LED","","LED_SMD:LED_0805_2012Metric","4",""
"GPIOS1,H-Bridge1,H-Bridge2","Conn_01x10","","Connector_PinHeader_2.54mm:PinHeader_1x10_P2.54mm_Vertical","3",""
"J1","USB_C_Receptacle_USB2.0_16P","https://www.usb.org/sites/default/files/documents/usb_type-c.zip","Connector_USB:USB_C_Receptacle_HRO_TYPE-C-31-M-12","1",""
"J2","Conn_01x03","","Connector_PinSocket_2.54mm:PinSocket_1x03_P2.54mm_Vertical","1",""
"J3","Conn_01x04","","Connector_PinSocket_2.54mm:PinSocket_1x04_P2.54mm_Vertical","1",""
"MyowareSensors1","Conn_01x06","","Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical","1",""
"R1,R9,R10,R13,R14,R15","1k","","Resistor_SMD:R_0805_2012Metric","6",""
"R2,R7","10k","","Resistor_SMD:R_0805_2012Metric","2",""
"R3,R4","27","","Resistor_SMD:R_0805_2012Metric","2",""
"R5,R6","5.1K","","Resistor_SMD:R_0805_2012Metric","2",""
"R8","100","","Resistor_SMD:R_0805_2012Metric","1",""
"R11,R12","4.7k","","Resistor_SMD:R_0805_2012Metric","2",""
"R16","50","","Resistor_SMD:R_0805_2012Metric","1",""
"SW1","SW_SPST","","Button_Switch_SMD:SW_SPST_CK_RS282G05A3","1",""
"U1","W25Q32JVSS","http://www.winbond.com/resource-files/w25q32jv%20revg%2003272018%20plus.pdf","Package_SO:SOIC-8_5.23x5.23mm_P1.27mm","1",""
"U2","AMS1117-3.3","http://www.advanced-monolithic.com/pdf/ds1117.pdf","Package_TO_SOT_SMD:SOT-223-3_TabPin2","1",""
"U3","RP2040","https://datasheets.raspberrypi.com/rp2040/rp2040-datasheet.pdf","Package_DFN_QFN:QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm","1",""
"Y1","12Mhz","","Crystal:Crystal_SMD_SeikoEpson_FA238V-4Pin_3.2x2.5mm","1",""
